file,class,method,variable,usage
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor$Anonymous1,getElementAt/1[int],strings,1
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jLabel3,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jRadioButton1,8
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jLabel2,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jRadioButton2,7
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jLabel5,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jLabel4,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jTextField4,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jLabel7,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jTextField3,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jLabel6,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jTextField5,3
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jScrollPane1,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jList1,3
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jLabel1,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jPanel1,6
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jComboBox1,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jTextField2,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jPanel2,6
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jTextField1,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jRadioButton3,7
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jButton3,5
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jButton2,5
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jButton1,5
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,buttonGroup1,4
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jButton6,5
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jButton5,5
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jButton4,5
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel3,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField8,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel2,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel5,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel4,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField9,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel7,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField4,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel6,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField3,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel9,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField6,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel8,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField5,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel1,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jPanel1,6
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jComboBox1,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jComboBox2,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField2,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jPanel2,6
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jTextField1,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jButton3,5
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jButton2,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jButton1,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jButton5,4
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jButton4,5
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jCheckBox1,6
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jLabel10,4
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],con1,2
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],txtname,2
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],insert,3
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],txtno,1
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],table,2
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],txtcourse,1
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],con1,2
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],txtname,3
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],insert,5
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],txtno,2
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],txtcourse,2
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],txtname,1
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],txtno,1
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],table,2
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],txtcourse,1
C:\StudentManagement\src\Student.java,Student,initComponents/0,jRadioButton1,2
C:\StudentManagement\src\Student.java,Student,initComponents/0,jLabel3,4
C:\StudentManagement\src\Student.java,Student,initComponents/0,jLabel2,4
C:\StudentManagement\src\Student.java,Student,initComponents/0,butadd,5
C:\StudentManagement\src\Student.java,Student,initComponents/0,jLabel4,7
C:\StudentManagement\src\Student.java,Student,initComponents/0,jScrollPane1,4
C:\StudentManagement\src\Student.java,Student,initComponents/0,txtno,4
C:\StudentManagement\src\Student.java,Student,initComponents/0,butdel,6
C:\StudentManagement\src\Student.java,Student,initComponents/0,jLabel1,4
C:\StudentManagement\src\Student.java,Student,initComponents/0,txtcourse,4
C:\StudentManagement\src\Student.java,Student,initComponents/0,butedit,5
C:\StudentManagement\src\Student.java,Student,initComponents/0,txtname,4
C:\StudentManagement\src\Student.java,Student,initComponents/0,table,6
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],con1,2
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],txtname,3
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],insert,6
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],txtno,2
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],table,2
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],txtcourse,2
C:\StudentManagement\src\Student.java,Student,table_update/0,con1,2
C:\StudentManagement\src\Student.java,Student,table_update/0,txtname,2
C:\StudentManagement\src\Student.java,Student,table_update/0,insert,2
C:\StudentManagement\src\Student.java,Student,table_update/0,txtno,1
C:\StudentManagement\src\Student.java,Student,table_update/0,table,1
C:\StudentManagement\src\Student.java,Student,table_update/0,txtcourse,1
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jCheckBox1,6
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jCheckBox2,6
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jButton2,4
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jCheckBox3,6
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jButton1,4
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jCheckBox4,6
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jTextField1,3
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,jLabel1,4
C:\StudentManagement\src\Student.java,Student$Anonymous7,getColumnClass/1[int],types,1
