file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna$Anonymous1,run/0,false,294,1,4,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor$Anonymous1,getSize/0,false,146,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor$Anonymous1,getElementAt/1[int],false,147,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\examples\Find.java,examples.Find$Anonymous1,run/0,false,149,1,4,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor$Anonymous2,run/0,false,304,1,4,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,ContactEditor/0,true,27,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,false,37,0,2,1,1,1,34,90,0,3,0,34,0,0,0,0,0,0,24,38,30,0,0,1,0,0,77,2,0,true
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,main/1[java.lang.String[]],false,278,1,1,0,1,7,9,27,0,2,1,9,0,0,1,0,1,0,1,1,2,0,3,1,0,0,24,9,0,true
C:\StudentManagement\src\Student.java,Student$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,61,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,false,35,0,1,1,0,1,31,76,0,3,0,31,0,0,0,0,0,0,29,20,31,0,0,0,0,0,75,2,0,true
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,Antenna/0,true,25,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,main/1[java.lang.String[]],false,268,1,1,0,1,7,9,27,0,2,1,9,0,0,1,0,1,0,1,1,2,0,3,1,0,0,23,9,0,true
C:\StudentManagement\src\Student.java,Student$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,67,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\Student.java,Student$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,55,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\Student.java,Student,Student/0,true,14,1,3,1,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\StudentManagement\src\Student.java,Student,txtcourseActionPerformed/1[java.awt.event.ActionEvent],false,264,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],false,315,1,2,1,1,4,18,27,0,4,1,18,1,1,0,1,1,0,11,2,6,0,2,0,0,0,32,2,0,false
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],false,224,1,2,1,1,3,13,26,0,3,1,13,1,1,0,0,1,0,9,3,5,0,1,0,0,0,23,2,0,false
C:\StudentManagement\src\Student.java,Student,txtnameActionPerformed/1[java.awt.event.ActionEvent],false,256,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],false,268,0,1,1,0,1,5,7,0,2,1,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,9,2,0,false
C:\StudentManagement\src\Student.java,Student,initComponents/0,false,27,0,3,1,2,1,32,85,0,1,0,32,0,0,0,0,0,0,15,46,14,0,0,8,0,0,62,2,0,true
C:\StudentManagement\src\Student.java,Student,txtnoActionPerformed/1[java.awt.event.ActionEvent],false,260,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],false,279,1,2,1,1,3,19,30,0,6,1,19,1,1,0,0,1,0,9,5,8,0,1,0,0,0,29,2,0,false
C:\StudentManagement\src\Student.java,Student,table_update/0,false,188,1,4,4,0,5,17,33,0,6,0,17,0,0,2,0,1,0,12,2,8,0,3,0,0,0,27,2,0,false
C:\StudentManagement\src\Student.java,Student,main/1[java.lang.String[]],false,348,1,1,0,1,7,9,28,0,0,1,9,0,0,1,0,1,0,1,0,0,0,3,1,0,0,14,9,0,false
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,false,35,0,1,1,0,1,24,32,0,1,0,24,0,0,0,0,0,0,8,32,9,0,0,0,0,0,45,2,0,true
C:\StudentManagement\src\examples\Find.java,examples.Find,Find/0,true,25,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\StudentManagement\src\examples\Find.java,examples.Find,main/1[java.lang.String[]],false,123,1,1,0,1,7,9,27,0,2,1,9,0,0,1,0,1,0,1,1,2,0,3,1,0,0,23,9,0,true
C:\StudentManagement\src\Student.java,Student$Anonymous8,mouseClicked/1[java.awt.event.MouseEvent],false,112,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\Student.java,Student$Anonymous9,run/0,false,375,1,4,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\StudentManagement\src\Student.java,Student$Anonymous6,actionPerformed/1[java.awt.event.ActionEvent],false,89,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\Student.java,Student$Anonymous7,getColumnClass/1[int],false,106,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\Student.java,Student$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,74,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StudentManagement\src\Student.java,Student$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],false,81,1,6,0,6,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
