file,class,method,variable,usage
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",request,2
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",rs,2
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",password,4
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",conn,2
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",ps,4
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",e,1
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",response,5
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",out,1
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",username,4
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",sql,1
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",request,9
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",rd,3
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",e,3
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",response,4
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",query,4
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",i,0
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",id,4
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",out,3
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",request,5
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",st,2
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",rs,8
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",conn,2
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",rd,3
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",e,0
