file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\BankingSystem\src\Exceptions\MaxWithdraw.java,Exceptions.MaxWithdraw,class,0,1,1,0,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0
C:\BankingSystem\src\GUI\AddStudentAccount.java,GUI.AddStudentAccount$Anonymous1,anonymous,2,2,0,2,8,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,3,2,0,6,10,6,0,5,4,0,0,0,19,-1,0
C:\BankingSystem\src\GUI\AddStudentAccount.java,GUI.AddStudentAccount$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\BankingSystem\src\GUI\AddSavingsAccount.java,GUI.AddSavingsAccount$Anonymous1,anonymous,2,2,0,2,6,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,39,0,0,2,0,0,6,10,5,0,5,3,0,0,0,17,-1,0
C:\BankingSystem\src\GUI\AddSavingsAccount.java,GUI.AddSavingsAccount$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\BankingSystem\src\GUI\WithdrawAcc.java,GUI.WithdrawAcc,class,0,1,1,0,1,6,0,13,0,0.25,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,1,0,4,0,0,1,0,0,97,0,0,0,0,0,7,40,9,0,9,0,2,0,0,44,1,0
C:\BankingSystem\src\GUI\AddCurrentAccount.java,GUI.AddCurrentAccount$Anonymous1,anonymous,2,2,0,2,7,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,42,0,0,3,1,0,6,10,6,0,5,4,0,0,0,19,-1,0
C:\BankingSystem\src\GUI\AddCurrentAccount.java,GUI.AddCurrentAccount$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,class,1,7,6,1,7,1,2,2,0,0.56000006,1.0,1.0,5,0,5,0,0,0,5,0,0,0,5,1,0,2,0,3,1,0,1,30,2,0,0,0,2,6,3,7,4,5,1,0,0,0,23,1,0
C:\BankingSystem\src\GUI\AddStudentAccount.java,GUI.AddStudentAccount,class,0,1,1,0,1,6,0,12,0,0.2,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,1,0,5,0,0,1,0,0,106,0,0,0,0,0,11,52,11,0,11,0,2,0,0,45,1,0
